cluster,gene,avg_logFC,pct.1,pct.2,p_val,p_val_adj,description
5,CA2,0.696897666522624,0.405,0.199,1.96788766793941e-173,4.64637957277173e-169,carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]
5,IER3,0.632528755731315,0.811,0.761,2.40148616435197e-71,5.67014898265144e-67,immediate early response 3 [Source:HGNC Symbol;Acc:HGNC:5392]
6,MALAT1,1.09024591873568,1,1,0,0,metastasis associated lung adenocarcinoma transcript 1 [Source:HGNC Symbol;Acc:HGNC:29665]
6,NEAT1,1.03438691998865,1,0.999,0,0,nuclear paraspeckle assembly transcript 1 [Source:HGNC Symbol;Acc:HGNC:30815]
6,CP,0.716553220127003,0.869,0.704,3.40591373129037e-219,8.04170291094969e-215,ceruloplasmin [Source:HGNC Symbol;Acc:HGNC:2295]
6,KCNQ1OT1,0.543212031811396,0.875,0.741,2.8075261394321e-199,6.62884996781313e-195,KCNQ1 opposite strand/antisense transcript 1 [Source:HGNC Symbol;Acc:HGNC:6295]
6,SCD,0.545210302525254,0.906,0.829,2.64916677547473e-139,6.25494767357338e-135,stearoyl-CoA desaturase [Source:HGNC Symbol;Acc:HGNC:10571]
7,FLG,1.80275561373112,0.729,0.387,0,0,filaggrin [Source:HGNC Symbol;Acc:HGNC:3748]
7,KCNQ1OT1,0.833731856096242,0.933,0.739,1.44177118704716e-283,3.40416594973704e-279,KCNQ1 opposite strand/antisense transcript 1 [Source:HGNC Symbol;Acc:HGNC:6295]
7,MT-ND6,0.667747554505184,0.943,0.816,3.08633467752647e-235,7.28714480710775e-231,mitochondrially encoded NADH:ubiquinone oxidoreductase core subunit 6 [Source:HGNC Symbol;Acc:HGNC:7462]
7,PLCG2,2.69528543913703,0.65,0.518,3.33388146925136e-134,7.87162753704939e-130,phospholipase C gamma 2 [Source:HGNC Symbol;Acc:HGNC:9066]
7,AL627171.2,1.14096005136644,0.668,0.586,2.08376847133966e-66,4.91998573768006e-62,novel transcript
8,CCNB1,1.12884530025168,0.944,0.775,0,0,cyclin B1 [Source:HGNC Symbol;Acc:HGNC:1579]
8,CDKN3,1.08877216842094,0.978,0.775,0,0,cyclin dependent kinase inhibitor 3 [Source:HGNC Symbol;Acc:HGNC:1791]
8,PTTG1,1.04287815807288,0.998,0.964,0,0,PTTG1 regulator of sister chromatid separation, securin [Source:HGNC Symbol;Acc:HGNC:9690]
8,AURKA,0.99770861731076,0.808,0.551,1.12545396590762e-298,2.65730935890448e-294,aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]
8,HMMR,1.04827702239372,0.843,0.596,3.43181325042536e-285,8.10285426557932e-281,hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]
9,FTH1,0.576193741167613,1,1,0,0,ferritin heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:3976]
9,FTL,0.609374239670259,1,0.997,7.67367726346024e-265,1.8118319386756e-260,ferritin light chain [Source:HGNC Symbol;Acc:HGNC:3999]
9,HIST1H4C,0.59199262752917,0.951,0.837,5.3516934418235e-208,1.26358833854895e-203,histone cluster 1 H4 family member c [Source:HGNC Symbol;Acc:HGNC:4787]
9,DHCR24,0.567559889460663,0.975,0.898,6.89464287204543e-182,1.62789412851865e-177,24-dehydrocholesterol reductase [Source:HGNC Symbol;Acc:HGNC:2859]
9,GPX3,0.625241573892588,0.898,0.806,7.0956741771335e-125,1.67535962996299e-120,glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]
10,CRYAB,2.10213771971313,0.984,0.54,0,0,crystallin alpha B [Source:HGNC Symbol;Acc:HGNC:2389]
10,S100A11,0.43680886526315,1,0.997,2.88892169051684e-154,6.82103300347931e-150,S100 calcium binding protein A11 [Source:HGNC Symbol;Acc:HGNC:10488]
10,LGALS3,0.422917650769179,0.979,0.923,6.28638027303706e-102,1.48427724626678e-97,galectin 3 [Source:HGNC Symbol;Acc:HGNC:6563]
10,FHL2,0.527189936646064,0.816,0.563,1.70094545062068e-91,4.01610230346048e-87,four and a half LIM domains 2 [Source:HGNC Symbol;Acc:HGNC:3703]
10,KRT7,0.445786564620507,0.999,0.989,4.91857249336966e-85,1.16132415140951e-80,keratin 7 [Source:HGNC Symbol;Acc:HGNC:6445]
11,SNHG19,1.69856052034615,1,0.921,0,0,small nucleolar RNA host gene 19 [Source:HGNC Symbol;Acc:HGNC:49574]
11,AC010997.5,1.27103577673743,0.801,0.23,0,0,novel transcript
11,AC103591.3,1.12833443275948,0.764,0.258,0,0,novel transcript, antisense to DNAJB4
11,SNHG3,1.12030167254339,1,0.925,0,0,small nucleolar RNA host gene 3 [Source:HGNC Symbol;Acc:HGNC:10118]
11,HOXA-AS2,1.07654576086792,0.884,0.491,7.75519070562796e-265,1.83107807750582e-260,HOXA cluster antisense RNA 2 [Source:HGNC Symbol;Acc:HGNC:43745]
